Appliance_CPU_Utilization,Appliance_Memory_Utilization,Bandwidth (MB/s),Block Size,Host1_CPU_Utilization,Host1_Memory_Utilization,Host2_CPU_Utilization,Host2_Memory_Utilization,IOPS,Queue Depth/Thread,Read Latency (us),Stat_End_Time,Stat_Start_Time,Test_Name,Threads,Time_date,Timestamp,Timestamp_ms,Type,Write %,Write Latency (us)
1,10,148.81,4096,0,2,,,38096,1,104.359532569,2018-05-07 15:04:46,2018-05-07 15:03:06,Latency Test Sustained 4KB Random Read Tests by Number of Threads,4,Mon May  7 15:04:56 2018,2018-05-07 15:04:56,1525685696120,Rand,0,0.0
2,10,300.01,4096,0,2,,,76801,1,103.635807884,2018-05-07 15:06:57,2018-05-07 15:05:17,Latency Test Sustained 4KB Random Read Tests by Number of Threads,8,Mon May  7 15:07:07 2018,2018-05-07 15:07:07,1525685827257,Rand,0,0.0
3,10,569.91,4096,1,2,,,145897,1,109.091099589,2018-05-07 15:09:08,2018-05-07 15:07:28,Latency Test Sustained 4KB Random Read Tests by Number of Threads,16,Mon May  7 15:09:18 2018,2018-05-07 15:09:18,1525685958409,Rand,0,0.0
5,10,1057.24,4096,2,2,,,270652,1,117.608476564,2018-05-07 15:11:19,2018-05-07 15:09:39,Latency Test Sustained 4KB Random Read Tests by Number of Threads,32,Mon May  7 15:11:29 2018,2018-05-07 15:11:29,1525686089522,Rand,0,0.0
8,10,1792.88,4096,5,2,,,458978,1,138.773769456,2018-05-07 15:13:30,2018-05-07 15:11:50,Latency Test Sustained 4KB Random Read Tests by Number of Threads,64,Mon May  7 15:13:40 2018,2018-05-07 15:13:40,1525686220662,Rand,0,0.0
0,10,131.39,4096,0,2,,,33637,1,0.0,2018-05-07 15:15:41,2018-05-07 15:14:01,Latency Test Sustained 4KB Random Write Tests by Number of Threads,1,Mon May  7 15:15:51 2018,2018-05-07 15:15:51,1525686351723,Rand,100,29.245931146999997
0,10,256.71,4096,0,2,,,65718,1,0.0,2018-05-07 15:17:52,2018-05-07 15:16:12,Latency Test Sustained 4KB Random Write Tests by Number of Threads,2,Mon May  7 15:18:02 2018,2018-05-07 15:18:02,1525686482851,Rand,100,29.961806535999997
1,10,478.55,4096,1,2,,,122510,1,0.0,2018-05-07 15:20:03,2018-05-07 15:18:23,Latency Test Sustained 4KB Random Write Tests by Number of Threads,4,Mon May  7 15:20:13 2018,2018-05-07 15:20:13,1525686613993,Rand,100,32.154927735
2,10,673.99,4096,1,2,,,172541,1,0.0,2018-05-07 15:22:15,2018-05-07 15:20:35,Latency Test Sustained 4KB Random Write Tests by Number of Threads,8,Mon May  7 15:22:25 2018,2018-05-07 15:22:25,1525686745099,Rand,100,45.839487057
4,10,811.75,4096,2,2,,,207807,1,0.0,2018-05-07 15:24:26,2018-05-07 15:22:46,Latency Test Sustained 4KB Random Write Tests by Number of Threads,16,Mon May  7 15:24:36 2018,2018-05-07 15:24:36,1525686876231,Rand,100,76.38182849
5,10,864.7,4096,2,2,,,221364,1,0.0,2018-05-07 15:26:37,2018-05-07 15:24:57,Latency Test Sustained 4KB Random Write Tests by Number of Threads,32,Mon May  7 15:26:47 2018,2018-05-07 15:26:47,1525687007357,Rand,100,143.905816646
5,10,857.01,4096,2,2,,,219395,1,0.0,2018-05-07 15:28:48,2018-05-07 15:27:08,Latency Test Sustained 4KB Random Write Tests by Number of Threads,64,Mon May  7 15:28:58 2018,2018-05-07 15:28:58,1525687138493,Rand,100,290.989828745
